수집 댓글 2836건 → 주제 관련 981건
연도별: {'2023': 36, '2024': 30, '2025': 119, '2026': 796}

항목                              건수       비율
shadcn·Tailwind 기본값             81     8.3%
그라디언트(특히 글자)                    27     2.8%
보라·인디고 강조색                      24     2.4%
과한 애니메이션·스크롤                    20     2.0%
다 똑같이 생겼다                       12     1.2%
크림+세리프+세이지(2026)                10     1.0%
기본 폰트(Inter 등)                   8     0.8%
글로우·네온                           4     0.4%
정보 위계가 없다                        3     0.3%
전부 둥근 모서리·알약                     3     0.3%
여백·가운데정렬 과다                      3     0.3%
글래스모피즘                           3     0.3%
카피 상투구                           2     0.2%
이모지를 아이콘으로                       2     0.2%
다크모드                             2     0.2%
히어로+3카드 골격                       1     0.1%
스톡 일러스트                          1     0.1%
벤토 그리드                           0     0.0%
간격·정렬이 제멋대로                      0     0.0%
