hjd,phase,baseline_flux,model_flux,model_normalized_flux
2455153.9086199999,-0.0164538571,1.0013659894,0.9983628524,0.9970009596
2455153.9086562819,-0.0164406952,1.0013644804,0.9983437990,0.9969834347
2455153.9086925643,-0.0164275332,1.0013629713,0.9983247276,0.9969658916
2455153.9087288463,-0.0164143713,1.0013614623,0.9983056388,0.9969483312
2455153.9087651288,-0.0164012093,1.0013599533,0.9982865324,0.9969307531
2455153.9088014108,-0.0163880474,1.0013584443,0.9982674090,0.9969131580
2455153.9088376933,-0.0163748854,1.0013569353,0.9982482684,0.9968955457
2455153.9088739753,-0.0163617235,1.0013554263,0.9982291112,0.9968779167
2455153.9089102577,-0.0163485615,1.0013539172,0.9982099372,0.9968602709
2455153.9089465397,-0.0163353996,1.0013524082,0.9981907471,0.9968426090
2455153.9089828222,-0.0163222376,1.0013508992,0.9981715406,0.9968249305
2455153.9090191042,-0.0163090757,1.0013493902,0.9981523183,0.9968072363
2455153.9090553867,-0.0162959137,1.0013478812,0.9981330799,0.9967895261
2455153.9090916687,-0.0162827518,1.0013463722,0.9981138263,0.9967718004
2455153.9091279511,-0.0162695898,1.0013448631,0.9980945569,0.9967540591
2455153.9091642331,-0.0162564279,1.0013433541,0.9980752727,0.9967363028
2455153.9092005156,-0.0162432659,1.0013418451,0.9980559732,0.9967185313
2455153.9092367976,-0.0162301040,1.0013403361,0.9980366591,0.9967007451
2455153.9092730801,-0.0162169420,1.0013388271,0.9980173302,0.9966829441
2455153.9093093621,-0.0162037801,1.0013373181,0.9979979872,0.9966651289
2455153.9093456445,-0.0161906181,1.0013358091,0.9979786297,0.9966472992
2455153.9093819265,-0.0161774562,1.0013343000,0.9979592584,0.9966294557
2455153.9094182090,-0.0161642942,1.0013327910,0.9979398730,0.9966115980
2455153.9094544910,-0.0161511323,1.0013312820,0.9979204743,0.9965937270
2455153.9094907735,-0.0161379703,1.0013297730,0.9979010619,0.9965758422
2455153.9095270555,-0.0161248084,1.0013282640,0.9978816364,0.9965579444
2455153.9095633379,-0.0161116464,1.0013267550,0.9978621977,0.9965400333
2455153.9095996199,-0.0160984845,1.0013252459,0.9978427464,0.9965221095
2455153.9096359024,-0.0160853225,1.0013237369,0.9978232821,0.9965041728
2455153.9096721844,-0.0160721606,1.0013222279,0.9978038056,0.9964862237
2455153.9097084668,-0.0160589986,1.0013207189,0.9977843166,0.9964682621
2455153.9097447488,-0.0160458367,1.0013192099,0.9977648157,0.9964502886
2455153.9097810313,-0.0160326747,1.0013177009,0.9977453026,0.9964323029
2455153.9098173133,-0.0160195128,1.0013161919,0.9977257781,0.9964143057
2455153.9098535958,-0.0160063508,1.0013146828,0.9977062418,0.9963962967
2455153.9098898778,-0.0159931889,1.0013131738,0.9976866944,0.9963782765
2455153.9099261602,-0.0159800269,1.0013116648,0.9976671355,0.9963602449
2455153.9099624422,-0.0159668650,1.0013101558,0.9976475660,0.9963422024
2455153.9099987247,-0.0159537030,1.0013086468,0.9976279853,0.9963241490
2455153.9100350067,-0.0159405411,1.0013071378,0.9976083944,0.9963060851
2455153.9100712892,-0.0159273791,1.0013056287,0.9975887927,0.9962880105
2455153.9101075712,-0.0159142172,1.0013041197,0.9975691811,0.9962699258
2455153.9101438536,-0.0159010552,1.0013026107,0.9975495591,0.9962518308
2455153.9101801356,-0.0158878933,1.0013011017,0.9975299275,0.9962337262
2455153.9102164181,-0.0158747313,1.0012995927,0.9975102860,0.9962156115
2455153.9102527001,-0.0158615694,1.0012980837,0.9974906353,0.9961974876
2455153.9102889826,-0.0158484074,1.0012965746,0.9974709749,0.9961793540
2455153.9103252646,-0.0158352455,1.0012950656,0.9974513057,0.9961612115
2455153.9103615470,-0.0158220835,1.0012935566,0.9974316272,0.9961430598
2455153.9103978290,-0.0158089216,1.0012920476,0.9974119402,0.9961248994
2455153.9104341115,-0.0157957596,1.0012905386,0.9973922444,0.9961067302
2455153.9104703935,-0.0157825977,1.0012890296,0.9973725403,0.9960885528
2455153.9105066755,-0.0157694359,1.0012875206,0.9973528281,0.9960703670
2455153.9105429580,-0.0157562738,1.0012860115,0.9973331075,0.9960521729
