hjd,phase,rzmag,e_rzmag,relative_flux,relative_flux_error,baseline_flux,normalized_flux,normalized_flux_error,model_flux,model_normalized_flux,residual_flux
2455153.9086199999,-0.0164538571,0.0034200000,0.0015000000,0.9968550194,0.0013772061,1.0013659894,0.9954951836,0.0013753274,0.9983628524,0.9970009596,-0.0015057761
2455153.9091639002,-0.0162565487,0.0007400000,0.0014800000,0.9993186670,0.0013622016,1.0013433680,0.9979780153,0.0013603741,0.9980754497,0.9967364659,0.0012415494
2455153.9108072999,-0.0156603796,0.0042900000,0.0015000000,0.9960565598,0.0013761030,1.0012750173,0.9947881877,0.0013743507,0.9971892030,0.9959193886,-0.0011312009
2455153.9113512998,-0.0154630351,0.0013400000,0.0014800000,0.9987665757,0.0013614491,1.0012523917,0.9975172933,0.0013597461,0.9968920279,0.9956450902,0.0018722031
2455153.9118952001,-0.0152657267,0.0045500000,0.0014800000,0.9958180639,0.0013574299,1.0012297704,0.9945949405,0.0013557626,0.9965940023,0.9953699258,-0.0007749853
2455153.9124391000,-0.0150684185,0.0035200000,0.0014800000,0.9967632099,0.0013587182,1.0012071490,0.9955614190,0.0013570800,0.9962956340,0.9950944068,0.0004670121
2455153.9129830999,-0.0148710740,0.0027700000,0.0014800000,0.9974519874,0.0013596571,1.0011845235,0.9962718800,0.0013580485,0.9959974133,0.9948190268,0.0014528532
2455153.9135270002,-0.0146737656,0.0023700000,0.0014800000,0.9978195300,0.0013601581,1.0011619021,0.9966615069,0.0013585796,0.9956999799,0.9945444167,0.0021170903
2455153.9140825002,-0.0144722492,0.0037700000,0.0014800000,0.9965337231,0.0013584054,1.0011387983,0.9954001632,0.0013568602,0.9953974962,0.9942652286,0.0011349345
2455153.9146380001,-0.0142707329,0.0025100000,0.0014800000,0.9976908747,0.0013599827,1.0011156944,0.9965789971,0.0013584671,0.9950968520,0.9939878653,0.0025911317
2455153.9151820000,-0.0140733884,0.0041300000,0.0014800000,0.9962033550,0.0013579551,1.0010930689,0.9951156250,0.0013564723,0.9948047197,0.9937185169,0.0013971081
2455153.9157258999,-0.0138760802,0.0044500000,0.0014800000,0.9959097863,0.0013575549,1.0010704476,0.9948448571,0.0013561032,0.9945153902,0.9934519520,0.0013929051
2455153.9162698002,-0.0136787718,0.0069500000,0.0014800000,0.9936192574,0.0013544326,1.0010478262,0.9925792069,0.0013530149,0.9942292827,0.9931885937,-0.0006093868
2455153.9168138001,-0.0134814272,0.0059100000,0.0014800000,0.9945714768,0.0013557306,1.0010252006,0.9935528858,0.0013543421,0.9939468117,0.9929288604,0.0006240253
2455153.9173576999,-0.0132841190,0.0088800000,0.0014800000,0.9918545730,0.0013520271,1.0010025793,0.9908611561,0.0013506729,0.9936685404,0.9926733067,-0.0018121505
2455153.9179015998,-0.0130868108,0.0088700000,0.0014800000,0.9918637084,0.0013520395,1.0009799579,0.9908926752,0.0013507159,0.9933948705,0.9924223384,-0.0015296632
2455153.9184571002,-0.0128852943,0.0066600000,0.0014800000,0.9938846884,0.0013547944,1.0009568541,0.9929345949,0.0013534993,0.9931205822,0.9921712192,0.0007633757
2455153.9190011001,-0.0126879498,0.0064300000,0.0014800000,0.9940952531,0.0013550814,1.0009342285,0.9931674077,0.0013538167,0.9928575409,0.9919308508,0.0012365570
2455153.9195566000,-0.0124864334,0.0062900000,0.0014800000,0.9942234447,0.0013552562,1.0009111247,0.9933184078,0.0013540225,0.9925950962,0.9916915416,0.0016268662
